ChargingEvent,CPID,StartDate,StartTime,EndDate,EndTime,Energy,PluginDuration
16673806,AN11719,2017-12-31,14:46:00,2017-12-31,18:00:00,2.4,3.2333333333333334
16670986,AN01706,2017-12-31,11:25:00,2017-12-31,13:14:00,6.1,1.8166666666666667
3174961,AN18584,2017-12-31,11:26:11,2018-01-01,12:54:11,24,25.466666666666665
16674334,AN00812,2017-12-31,15:18:00,2018-01-01,14:06:00,6.7,22.8
3176831,AN24139,2017-12-31,18:25:18,2018-01-01,13:09:18,6.1,18.733333333333334
16673920,AN03984,2017-12-31,14:54:00,2017-12-31,19:19:00,5.6,4.416666666666667
3174600,AN23243,2017-12-31,09:43:09,2017-12-31,11:40:09,5,1.95
16677086,AN01809,2017-12-31,18:52:00,2018-01-02,07:19:00,4.5,36.45
3176550,AN24009,2017-12-31,16:59:16,2018-01-02,15:53:16,5,46.9
16678674,AN15542,2017-12-31,22:47:00,2018-01-01,12:11:00,26.1,13.4
16667381,AN05258,2017-12-30,20:44:00,2017-12-31,12:31:00,18.5,15.783333333333333
16656684,AN03155,2017-12-30,00:08:00,2017-12-30,11:08:00,23.7,11
16665909,AN15633,2017-12-30,22:08:00,2017-12-31,07:34:00,8.6,9.433333333333334
16656833,AN16585,2017-12-30,11:06:00,2017-12-30,11:21:00,1.6,0.25
3170740,AN18094,2017-12-30,11:49:11,2017-12-31,12:26:11,15,24.616666666666667
16659519,AN08473,2017-12-30,14:24:00,2017-12-30,16:12:00,1.8,1.8
16664521,AN16361,2017-12-30,19:35:00,2017-12-31,14:32:00,3.5,18.95
16662170,AN11067,2017-12-30,17:07:00,2017-12-31,08:15:00,6.5,15.133333333333333
16661855,AN12077,2017-12-30,16:50:00,2017-12-30,18:56:00,6.5,2.1
16666777,AN08012,2017-12-30,11:00:00,2017-12-31,08:34:00,3.1,21.566666666666666
16660936,AN08160,2017-12-30,15:54:00,2017-12-30,16:01:00,0.4,0.11666666666666667
16660062,AN03948,2017-12-30,15:05:00,2017-12-31,12:06:00,0.5,21.016666666666666
16661068,AN06001,2017-12-30,16:05:00,2017-12-30,20:06:00,30.6,4.016666666666667
16658356,AN05214,2017-12-30,13:08:00,2017-12-30,14:32:00,4.6,1.4
16646080,AN15785,2017-12-29,16:04:00,2017-12-29,19:16:00,29,3.2
16640926,AN12015,2017-12-29,10:29:00,2017-12-29,15:05:00,7.8,4.6
16653049,AN05087,2017-12-29,19:58:00,2017-12-30,11:51:00,4.6,15.883333333333333
16648639,AN15461,2017-12-29,18:13:00,2017-12-30,09:49:00,9.2,15.6
16649244,AN03440,2017-12-29,18:50:00,2017-12-30,07:34:00,0.3,12.733333333333333
16635364,AN12554,2017-12-28,21:29:00,2017-12-29,12:21:00,9.9,14.866666666666667
16632755,AN15982,2017-12-28,18:13:00,2017-12-29,09:47:00,5,15.566666666666666
16624342,AN02827,2017-12-28,00:29:00,2017-12-28,09:11:00,11.1,8.7
16627951,AN15949,2017-12-28,14:12:00,2017-12-28,16:20:00,4.8,2.1333333333333333
16634238,AN15958,2017-12-28,11:44:00,2017-12-28,23:26:00,14.7,11.7
16625152,AN08828,2017-12-28,10:35:00,2017-12-28,12:47:00,6.2,2.2
16627929,AN12015,2017-12-28,14:11:00,2017-12-29,08:20:00,0.7,18.15
